freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
3,3674472E+005	5,9840845E+002	6,4309685E+001
3,2906213E+005	5,9850317E+002	6,5716629E+001
3,2156509E+005	5,9869379E+002	6,7048790E+001
3,1423506E+005	5,9904382E+002	6,8376762E+001
3,0707206E+005	5,9955634E+002	6,9615044E+001
3,0006681E+005	5,9969440E+002	7,1207962E+001
2,9322853E+005	5,9984546E+002	7,3122375E+001
2,8654803E+005	6,0030310E+002	7,4883133E+001
2,8001597E+005	6,0085669E+002	7,6073181E+001
2,7363234E+005	6,0144275E+002	7,7653397E+001
2,6739719E+005	6,0150531E+002	7,9423843E+001
2,6130122E+005	6,0170160E+002	8,0964043E+001
2,5536297E+005	6,0185632E+002	8,3009407E+001
2,4952680E+005	6,0242792E+002	8,4529228E+001
2,4383906E+005	6,0302545E+002	8,6177292E+001
2,3828125E+005	6,0311896E+002	8,8103607E+001
2,3284405E+005	6,0351746E+002	9,0017601E+001
2,2753675E+005	6,0403882E+002	9,1931030E+001
2,2235006E+005	6,0474976E+002	9,3855370E+001
2,1728400E+005	6,0512842E+002	9,6047127E+001
2,1232928E+005	6,0570557E+002	9,8172234E+001
2,0748591E+005	6,0592670E+002	1,0015568E+002
2,0276314E+005	6,0676880E+002	1,0233451E+002
1,9813316E+005	6,0713177E+002	1,0423508E+002
1,9362381E+005	6,0754901E+002	1,0672300E+002
1,8920723E+005	6,0823322E+002	1,0928852E+002
1,8489275E+005	6,0877637E+002	1,1146785E+002
1,8068030E+005	6,0948712E+002	1,1383376E+002
1,7656064E+005	6,1019049E+002	1,1604267E+002
1,7253377E+005	6,1096198E+002	1,1866555E+002
1,6859969E+005	6,1144830E+002	1,2135699E+002
1,6475839E+005	6,1224896E+002	1,2380707E+002
1,6100059E+005	6,1311810E+002	1,2642570E+002
1,5733559E+005	6,1385999E+002	1,2925975E+002
1,5374480E+005	6,1473578E+002	1,3218492E+002
1,5024681E+005	6,1549304E+002	1,3504370E+002
1,4682305E+005	6,1651385E+002	1,3783324E+002
1,4347350E+005	6,1741986E+002	1,4083160E+002
1,4019819E+005	6,1818036E+002	1,4368663E+002
1,3700639E+005	6,1926416E+002	1,4686348E+002
1,3387953E+005	6,2029114E+002	1,5012938E+002
1,3082690E+005	6,2136792E+002	1,5343974E+002
1,2784850E+005	6,2244440E+002	1,5654124E+002
1,2493505E+005	6,2387341E+002	1,5966980E+002
1,2208655E+005	6,2488989E+002	1,6318494E+002
1,1930299E+005	6,2616174E+002	1,6657211E+002
1,1658440E+005	6,2755353E+002	1,7020695E+002
1,1393075E+005	6,2903748E+002	1,7377800E+002
1,1133277E+005	6,3049231E+002	1,7714268E+002
1,0879046E+005	6,3187665E+002	1,8106299E+002
1,0631309E+005	6,3367596E+002	1,8489696E+002
1,0389141E+005	6,3517523E+002	1,8860196E+002
1,0151610E+005	6,3682196E+002	1,9275880E+002
9,9205766E+004	6,3876508E+002	1,9689569E+002
9,6941805E+004	6,4049408E+002	2,0111728E+002
9,4733523E+004	6,4257910E+002	2,0497514E+002
9,2571633E+004	6,4427246E+002	2,0894374E+002
9,0465414E+004	6,4641406E+002	2,1348590E+002
8,8405578E+004	6,4850183E+002	2,1783247E+002
8,6392148E+004	6,5100427E+002	2,2227176E+002
8,4415820E+004	6,5334979E+002	2,2706177E+002
8,2495172E+004	6,5557855E+002	2,3159830E+002
8,0611641E+004	6,5829614E+002	2,3599557E+002
7,8774500E+004	6,6077197E+002	2,4085507E+002
7,6983742E+004	6,6323999E+002	2,4540627E+002
7,5230109E+004	6,6647278E+002	2,5045874E+002
7,3513586E+004	6,6935834E+002	2,5539111E+002
