freq_Hz	Zprime_Ohm	Zdoubleprime_Ohm
1000018.6	1.6450247309415367	-0.18045735874417473
792013.06	1.664630039065977	-0.19833789983614725
627291.81	1.689795585301927	-0.23189758788562154
496826.75	1.704005665992217	-0.26140021874398045
393492.06	1.72527791433372	-0.30480933703043517
311655.66	1.7473248016310043	-0.35575742361303164
246836.03	1.776317486063055	-0.42100906132361887
195498.08	1.8056866492660824	-0.4996871554957129
154839.67	1.8475482130549343	-0.594053005631688
122633.98	1.8968271998836932	-0.705107351480052
97127.375	1.9543205170549256	-0.8406525798496205
76928.07	2.0284238736904925	-0.9993756499977564
60922.652	2.120815754486924	-1.1882488509358897
48257.5	2.231692342746721	-1.4122252797604555
38218.156	2.3738921808802576	-1.6760596862596318
30266.479	2.5549120734644406	-1.9807837004468627
23975.656	2.7824750123161763	-2.3351565921869355
18983.818	3.080589757813817	-2.7413646626704
15040.457	3.428614870233837	-3.1858567482725717
11913.598	3.86355481499451	-3.675252456996412
9437.4268	4.3819063849721696	-4.210067421365188
7470.6152	5.0109325012620545	-4.777952467501177
5916.9902	5.7590853366660735	-5.369939827456564
4686.4971	6.638547746502081	-5.962511782108251
3711.1863	7.659346009587291	-6.538208012221251
2940.938	8.83873488271814	-7.05857589233554
2329.2527	10.151982492944242	-7.489605920126785
1844.4061	11.590113728300512	-7.780957327763297
1460.4702	13.088956831364206	-7.893903049972327
1156.8517	14.613641964310663	-7.813009797747246
916.46613	16.076061188677055	-7.539211159728315
725.69403	17.439440260274267	-7.111033714748545
574.81604	18.62629848159711	-6.559546972639353
455.14554	19.66975396222456	-5.9558892042483516
360.57681	20.527747029844683	-5.318092014043434
285.63962	21.244509657086567	-4.7076410689167565
226.23093	21.821032203621428	-4.137146568851431
179.14027	22.294766017370204	-3.636542553286518
141.86128	22.73733611925613	-3.2052440007816934
112.33688	23.08592403552631	-2.831833243508046
89.003143	23.38027307325432	-2.50064983339999
70.473549	23.660969346898213	-2.239307722693974
55.839867	23.913550369224716	-2.001344569200976
44.221729	24.159697149732803	-1.7913510079801753
35.011173	24.39103120112545	-1.574760484224434
27.736723	24.596659223325	-1.4034131818451154
21.960661	24.774736269321586	-1.2146936591804007
17.399788	24.945887855305592	-1.0405133761672911
13.786777	25.075978144772517	-0.8594243168784022
10.911301	25.179742875514876	-0.6994995524503418
8.6421518	25.269214993866463	-0.559306357218885
6.8470612	25.335458002292732	-0.42480779955459447
5.4197016	25.38899544675177	-0.3015342644455794
4.2925849	25.41894776439365	-0.2089298911566888
3.4004376	25.44635423502907	-0.10652138216707607
2.6930346	25.45549736212825	-0.04656407459880518
2.1345615	25.483980047358067	0.009344569885028964
1.6891882	25.480543701951405	0.061189724516625965
1.3384447	25.52501925791328	0.09000826096856107
1.0601133	25.514584796467503	0.1322716982003156
0.83950907	25.50920079930396	0.16098561625942986
0.66517669	25.44985489774818	0.20215840511769967
0.52644908	25.38374865297071	0.2352253584715207
0.41728988	25.280566510538904	0.2793824085345329
0.33019856	25.203462737338853	0.31140307016762003
0.26168153	25.051448025218825	0.31472493167071036
0.20727515	24.91115419219489	0.35444608893601304
0.16422123	24.823375342714797	0.36139404632289196
0.13006553	24.719516397059667	0.33884284389261055
0.10297224	24.63917078699142	0.3255867380068649
0.081555545	24.639972202461827	0.316565759011735
0.064581856	24.67898566464268	0.2618629369823191
0.051141009	24.68160707976051	0.1741252286178776
0.040509924	24.69013695653645	0.1480619587621268
0.03210552	24.743646892814716	0.13508222451603036
0.025420561	25.081182620433434	0.022754382569743825
0.020124838	25.836125824945594	-0.11556419551803643
0.015937239	25.96314006027658	-0.17301407272822011
0.012632385	25.705858607171308	-0.09467663188766551
0.010003746	25.57162365788985	-0.05627537429897522
