freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/ F	Cp/ F	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	Analog IN 1/V	Analog IN 2/V	THD Ewe/%	NSD Ewe/%	NSR Ewe/%	THD I/%	NSD I/%	NSR I/%	|Ewe h2|/V	|Ewe h3|/V	|Ewe h4|/V	|Ewe h5|/V	|Ewe h6|/V	|Ewe h7|/V	|I h2|/A	|I h3|/A	|I h4|/A	|I h5|/A	|I h6|/A	|I h7|/A	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	
9,7127375E+004	2,3934016E+000	1,0091499E+000	2,5974517E+000	-2,2862152E+001	1,157548174975091E+001	3,2459841E+000	2,6247600E-001	1,6237634E+000	2,4509768E-001	1,000000000000000E+000	37	1,4742844E-002	5,6758877E-003	0	6,700502935993329E-004	-6,0165196E-004	-4,6521865E-004	1,1631257E-001	5,4743826E-002	1,7613436E+000	2,1702521E-001	1,0701843E-001	2,9822323E+000	6,3619559E-006	1,1126302E-005	6,4146379E-006	5,7654133E-006	5,0787635E-006	4,2093147E-006	5,1826614E-006	6,7565811E-006	2,3922219E-006	5,9504396E-006	3,0083747E-006	2,6501293E-006	3,5474855E-001	1,4957559E-001	3,8499272E-001	2,2862152E+001	2,4509767E+002	5,8129840E+002	6,3085712E+002	-6,7137848E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,7137848E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,7137848E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-2,2862152E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	2,2862152E+001	2,3717008E+000	2,2862152E+001	5,961781288629081E-005
7,6928070E+004	2,4920468E+000	1,1772909E+000	2,7561407E+000	-2,5286951E+001	1,242948787033674E+001	3,2459776E+000	2,4722889E-001	1,7573227E+000	3,2063898E-001	1,000000000000000E+000	37	1,4796332E-002	5,3684963E-003	0	7,422978585058720E-004	-4,9865089E-004	-8,4331143E-004	7,7821076E-002	4,2271208E-002	1,7487504E+000	2,1948899E-001	9,0980791E-002	3,2001519E+000	6,4718815E-006	2,2750617E-006	4,9805467E-006	3,6414961E-006	4,1703429E-006	4,0255677E-006	7,1305294E-006	4,5888946E-006	5,3093991E-006	2,3644270E-006	2,3239243E-006	3,1509512E-006	3,2806012E-001	1,5498191E-001	3,6282617E-001	2,5286951E+001	3,2063898E+002	6,7871704E+002	7,5064386E+002	-6,4713051E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,4713051E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,4713051E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-2,5286951E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	2,5286951E+001	2,1167638E+000	2,5286951E+001	7,224756490653908E-005
6,0922652E+004	2,6103652E+000	1,3761134E+000	2,9508803E+000	-2,7796978E+001	1,328347636424587E+001	3,2459838E+000	2,4775077E-001	1,8983972E+000	4,1285008E-001	1,000000000000000E+000	37	1,4573399E-002	4,9386616E-003	0	8,058613673760814E-004	-5,3298433E-004	-7,0582319E-004	8,5997254E-002	4,1403659E-002	1,7983288E+000	2,1548219E-001	7,0633896E-002	3,4807670E+000	3,9181409E-006	4,9167497E-006	3,2765320E-006	5,5317578E-006	7,3009410E-006	3,2915034E-006	8,6160717E-006	1,8627510E-006	3,6135709E-006	2,6562254E-006	2,6415189E-006	1,6944845E-006	2,9977685E-001	1,5803421E-001	3,3888194E-001	2,7796978E+001	4,1285010E+002	7,8314001E+002	8,8529852E+002	-6,2203022E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,2203022E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,2203022E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-2,7796978E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	2,7796978E+001	1,8969114E+000	2,7796978E+001	6,356350887020941E-005
4,8257500E+004	2,7485926E+000	1,6105857E+000	3,1857100E+000	-3,0368914E+001	1,413750051145325E+001	3,2459977E+000	2,6622254E-001	2,0477242E+000	5,2339154E-001	1,000000000000000E+000	37	1,4323266E-002	4,4960985E-003	0	8,621541976512978E-004	-6,7031919E-004	-4,6521865E-004	1,1328793E-001	7,1640946E-002	1,8116598E+000	2,6486528E-001	1,8352030E-001	3,7892411E+000	7,9685151E-006	6,9696753E-006	5,4998404E-006	4,1188023E-006	5,2525838E-006	4,3356417E-006	6,7415685E-006	3,8835283E-006	3,4560469E-006	4,4674575E-006	4,8924871E-006	3,2798821E-006	2,7083072E-001	1,5869798E-001	3,1390178E-001	3,0368914E+001	5,2339154E+002	8,9320929E+002	1,0352592E+003	-5,9631088E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,9631088E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,9631088E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,0368914E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,0368914E+001	1,7065796E+000	3,0368914E+001	5,629283027521641E-005
3,8218156E+004	2,9196951E+000	1,8855115E+000	3,4755969E+000	-3,2853992E+001	1,485447745220154E+001	3,2459912E+000	2,5166506E-001	2,2086210E+000	6,5001112E-001	1,000000000000000E+000	37	1,4914653E-002	4,2912494E-003	0	9,161465601012978E-004	-1,0136559E-003	-6,7145098E-004	1,2101962E-001	3,9507300E-002	1,7267734E+000	2,7430674E-001	1,2144151E-001	4,0309367E+000	3,8518783E-006	1,0310331E-005	4,6337000E-006	3,4842803E-006	8,5411157E-006	6,9249218E-006	6,5174499E-006	5,2481282E-006	3,9964643E-006	3,9770030E-006	3,3466131E-006	3,3546612E-006	2,4170114E-001	1,5608831E-001	2,8772035E-001	3,2853992E+001	6,5001117E+002	1,0065356E+003	1,1981771E+003	-5,7146008E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,7146008E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,7146008E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,2853992E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,2853992E+001	1,5484897E+000	3,2853992E+001	5,399236244999991E-005
3,0266479E+004	3,1312377E+000	2,2019486E+000	3,8279533E+000	-3,5115650E+001	1,557148383292952E+001	3,2459869E+000	2,5761104E-001	2,3880920E+000	7,9019117E-001	1,000000000000000E+000	37	1,4899809E-002	3,8923696E-003	0	9,640233364699977E-004	-1,3569925E-003	-6,3707912E-004	1,0661469E-001	2,8136000E-002	1,7381895E+000	2,8231940E-001	1,4090207E-001	4,3800383E+000	2,9426892E-006	7,0351020E-006	7,1498835E-006	6,4532896E-006	1,8758402E-006	8,4657340E-006	5,7429820E-006	5,7818461E-006	3,6771223E-006	4,6992141E-006	3,0716142E-006	1,8872096E-006	2,1368928E-001	1,5027055E-001	2,6123619E-001	3,5115650E+001	7,9019110E+002	1,1236757E+003	1,3736990E+003	-5,4884350E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,4884350E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,4884350E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,5115650E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,5115650E+001	1,4220303E+000	3,5115650E+001	4,787677636869999E-005
2,3975656E+004	3,3909922E+000	2,5686750E+000	4,2540474E+000	-3,7143913E+001	1,628849829363753E+001	3,2459869E+000	2,5880393E-001	2,5842855E+000	9,4222403E-001	1,000000000000000E+000	37	1,4575329E-002	3,4262263E-003	0	1,015905144205537E-003	-3,2698250E-004	-4,6521865E-004	1,2816958E-001	6,3907459E-002	1,7735360E+000	3,1938607E-001	1,4077879E-001	5,0971694E+000	2,8533166E-006	9,8218225E-006	1,1988179E-005	4,3566356E-006	6,3748257E-006	3,9632182E-006	6,4626538E-006	3,0355409E-006	3,6744866E-006	5,5754335E-006	2,8381176E-006	2,3324772E-006	1,8737952E-001	1,4193991E-001	2,3507026E-001	3,7143913E+001	9,4222394E+002	1,2438607E+003	1,5604408E+003	-5,2856087E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,2856087E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,2856087E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,7143913E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,7143913E+001	1,3201329E+000	3,7143913E+001	5,188180773553898E-005
1,8983818E+004	3,7231641E+000	2,9879525E+000	4,7738676E+000	-3,8748104E+001	1,717249318896211E+001	3,2459884E+000	3,8801894E-002	2,8058398E+000	1,0991818E+000	1,000000000000000E+000	38	1,5477479E-002	3,2421260E-003	0	1,031779545616824E-003	-6,0165196E-004	-6,7145098E-004	1,2317598E-001	5,3043637E-002	1,6331240E+000	8,7378301E-002	1,9943273E-002	6,6302979E-001	7,9165120E-006	2,6231023E-006	1,4235851E-005	5,1950979E-006	3,6389488E-006	5,3404324E-006	5,5944565E-007	2,0228692E-006	1,3995623E-006	7,0785734E-007	6,4066762E-007	4,8338484E-007	1,6336967E-001	1,3110913E-001	2,0947376E-001	3,8748104E+001	1,0991818E+003	1,3696450E+003	1,7561686E+003	-5,1251896E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,1251896E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,1251896E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,8748104E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,8748104E+001	1,2460587E+000	3,8748104E+001	1,587440141128738E-005
1,5040457E+004	4,1070561E+000	3,4462085E+000	5,3613677E+000	-3,9999828E+001	1,788849162295810E+001	3,2459764E+000	3,6650129E-002	3,0705597E+000	1,2686723E+000	1,000000000000000E+000	38	1,4925387E-002	2,7838766E-003	0	1,040395032512541E-003	-3,6131596E-004	-5,3396280E-004	1,2125842E-001	4,9628675E-002	1,7203242E+000	1,2888648E-001	5,4824647E-002	7,6164556E-001	4,5362062E-006	1,0221758E-005	1,0625518E-005	4,5259235E-006	4,0788873E-006	6,6427451E-006	9,7530472E-007	2,5440318E-006	1,3770664E-006	1,5796537E-006	2,4103062E-007	7,9796752E-007	1,4288263E-001	1,1989204E-001	1,8651956E-001	3,9999828E+001	1,2686724E+003	1,5119540E+003	1,9737108E+003	-5,0000172E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	5,0000172E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-5,0000172E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-3,9999828E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	3,9999828E+001	1,1917608E+000	3,9999828E+001	8,615486895717332E-006
1,1913598E+004	4,5799017E+000	3,9501505E+000	6,0480733E+000	-4,0777664E+001	1,860448477699538E+001	3,2459874E+000	3,9984029E-002	3,3819215E+000	1,4426359E+000	1,000000000000000E+000	38	1,4047525E-002	2,3226447E-003	0	1,047471808078686E-003	-8,7632105E-004	-5,3396280E-004	1,6061525E-001	4,7987580E-002	1,8178424E+000	1,3960287E-001	2,0593846E-002	9,3182325E-001	5,7179832E-006	1,3678969E-005	1,2841441E-005	9,2202781E-006	2,5612421E-006	4,4698104E-006	9,4284621E-007	2,4266938E-006	1,0525931E-006	1,3449026E-006	3,2653463E-007	7,4157867E-007	1,2520511E-001	1,0798901E-001	1,6534191E-001	4,0777664E+001	1,4426360E+003	1,6726277E+003	2,2088191E+003	-4,9222336E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	4,9222336E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-4,9222336E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-4,0777664E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	4,0777664E+001	1,1594247E+000	4,0777664E+001	7,076775566144467E-006
