freq,mu_Z_re,mu_Z_im,Z_re_res,Z_im_res
1000018.6,1.6766839311534028,-0.1123797627686384,0.03165920021186608,0.06807759597553634
792013.06,1.6806325586645356,-0.1412092963947445,0.016002519598558695,0.05712860344140275
627291.81,1.6867263900770688,-0.17697467882910217,-0.0030691952248582677,0.054922909056519365
496826.75,1.6959755990657464,-0.2209632224187676,-0.00803006692647057,0.04043699632521286
393492.06,1.709687573619791,-0.2744394444201497,-0.015590340713929063,0.030369892610285443
311655.66,1.7293864901291374,-0.33852211794799475,-0.017938311501866977,0.017235305665036893
246836.03,1.7566115228240518,-0.414132269938218,-0.01970596323900331,0.006876791385400871
195498.08,1.7926385931651814,-0.5021296041467151,-0.013048056100900984,-0.002442448651002238
154839.67,1.838326207608224,-0.6037096919464318,-0.009222005446710257,-0.009656686314743812
122633.98,1.8942978780959103,-0.7209115396702136,-0.0025293217877828678,-0.015804188190161605
97127.375,1.9614712097085183,-0.856932836440673,0.007150692653592694,-0.016280256591052478
76928.07,2.041706458754241,-1.0160325033655726,0.013282585063748353,-0.016656853367816193
60922.652,2.138234674755091,-1.2030834991058688,0.01741892026816716,-0.014834648169979037
48257.5,2.2557147556410158,-1.4230922295173933,0.024022412894294742,-0.010866949756937805
38218.156,2.4001375173241417,-1.6808332018052594,0.02624533644388416,-0.00477351554562766
30266.479,2.5786816053462625,-1.9807929603603291,0.023769531881821848,-9.25991346645283e-06
23975.656,2.7998624011683,-2.327116843621843,0.017387388852123653,0.008039748565092708
18983.818,3.073913959883564,-2.723372806056659,-0.006675797930252969,0.017991856613740698
15040.457,3.413257247556961,-3.1719494529580756,-0.015357622676876126,0.013907295314496082
11913.598,3.83278695483142,-3.6727901550906883,-0.030767860163089633,0.0024623019057234963
9437.4268,4.349536693285903,-4.221808629746063,-0.03236969168626658,-0.011741208380875001
7470.6152,4.9814844898108674,-4.809090766874558,-0.02944801145118703,-0.03113829937338064
5916.9902,5.745353851343717,-5.417546211147054,-0.013731485322356463,-0.047606383690490084
4686.4971,6.653610703013008,-6.022420939779401,0.015062956510927705,-0.059909157671150126
3711.1863,7.71110802496056,-6.592239646229218,0.051762015373268966,-0.05403163400796718
2940.938,8.912080872429542,-7.091286949127945,0.07334598971140238,-0.03271105679240538
2329.2527,10.238250658760254,-7.483476935722526,0.08626816581601204,0.006128984404258908
1844.4061,11.658677416422067,-7.737080416324267,0.06856368812155544,0.04387691143903005
1460.4702,13.13168501383357,-7.829428458749147,0.042728182469364384,0.06447459122317944
1156.8517,14.608742666647153,-7.750674884670667,-0.004899297663509827,0.06233491307657957
916.46613,16.03973634906009,-7.505783749495588,-0.03632483961696664,0.03342741023272655
725.69403,17.37872082456552,-7.114267892932919,-0.06071943570874794,-0.0032341781843738815
574.81604,18.58910946465009,-6.607667401336657,-0.03718901694702126,-0.04812042869730426
455.14554,19.647371434181665,-6.025232515560065,-0.022382528042896865,-0.06934331131171323
360.57681,20.544633011367292,-5.408644646300856,0.016885981522609228,-0.09055263225742216
285.63962,21.286029884587034,-4.7967501189231445,0.04152022750046669,-0.08910905000638802
226.23093,21.88810911858364,-4.221218956343117,0.06707691496221102,-0.08407238749168577
179.14027,22.374922549607707,-3.703763573304152,0.08015653223750263,-0.06722102001763419
141.86128,22.773618888900632,-3.2551905635589864,0.036282769644500945,-0.049946562777293035
112.33688,23.110317302041423,-2.876184044728453,0.02439326651511209,-0.04435080122040658
89.003143,23.40687184599725,-2.559435132675513,0.026598772742932653,-0.058785299275522895
70.473549,23.678885813718377,-2.292572592734069,0.017916466820164345,-0.05326487004009506
55.839867,23.935077149800954,-2.0613164853377786,0.021526780576238025,-0.05997191613680242
44.221729,24.17787982401358,-1.852334557271347,0.018182674280776467,-0.06098354929117167
35.011173,24.405006408727697,-1.655395142786763,0.013975207602246797,-0.08063465856232899
27.736723,24.611583145821736,-1.464548346078486,0.014923922496738129,-0.06113516423337062
21.960661,24.792396979064645,-1.278227416867562,0.017660709743058334,-0.0635337576871613
17.399788,24.94377566924022,-1.0983692287078333,-0.0021121860653714464,-0.05785585254054215
13.786777,25.064695519533892,-0.9288718400181034,-0.011282625238624888,-0.06944752313970126
10.911301,25.156926682642702,-0.7738931961334196,-0.022816192872173957,-0.07439364368307777
8.6421518,25.224353423768935,-0.6365274053157469,-0.04486157009752745,-0.07722104809686192
6.8470612,25.271887594933315,-0.5181704605798845,-0.06357040735941766,-0.09336266102529
5.4197016,25.304441497830403,-0.4185727025612885,-0.0845539489213678,-0.11703843811570908
4.2925849,25.326275737625032,-0.3362837800299935,-0.09267202676861785,-0.12735388887330468
3.4004376,25.34072903884774,-0.26921038025535704,-0.10562519618132882,-0.16268899808828097
2.6930346,25.35024627935108,-0.21505879480465856,-0.1052510827771691,-0.16849472020585338
