freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0000186E+006	2,9298973E+000	-2,5455785E-001
7,9433269E+005	2,9522567E+000	-2,5137192E-001
6,3095681E+005	2,9758174E+000	-2,5573152E-001
5,0120622E+005	3,0051107E+000	-2,6150686E-001
3,9810347E+005	3,0339732E+000	-2,7152738E-001
3,1622997E+005	3,0623055E+000	-2,8359213E-001
2,5118764E+005	3,0930111E+000	-2,9388770E-001
1,9954350E+005	3,1261270E+000	-3,1806651E-001
1,5848613E+005	3,1559870E+000	-3,3758563E-001
1,2590929E+005	3,1963325E+000	-3,6818391E-001
1,0000371E+005	3,2373497E+000	-4,0304700E-001
7,9433273E+004	3,2835934E+000	-4,4456369E-001
6,3093828E+004	3,3300591E+000	-4,9128729E-001
5,0122477E+004	3,3854280E+000	-5,5299699E-001
3,9814063E+004	3,4464636E+000	-6,1934364E-001
3,1621143E+004	3,5229506E+000	-6,9837415E-001
2,5116906E+004	3,6100562E+000	-7,8905571E-001
1,9948781E+004	3,7106111E+000	-8,9515734E-001
1,5847683E+004	3,8413062E+000	-1,0035790E+000
1,2590930E+004	3,9931481E+000	-1,1186086E+000
1,0002226E+004	4,1756573E+000	-1,2354621E+000
7,9439951E+003	4,3839674E+000	-1,3494421E+000
6,3077358E+003	4,6206155E+000	-1,4523363E+000
5,0116030E+003	4,8837533E+000	-1,5345731E+000
3,9812773E+003	5,1670284E+000	-1,5896823E+000
3,1630398E+003	5,4589171E+000	-1,6131467E+000
2,5124104E+003	5,7559724E+000	-1,6030705E+000
1,9956381E+003	6,0402412E+000	-1,5621445E+000
1,5844927E+003	6,3009548E+000	-1,4918786E+000
1,2587905E+003	6,5331841E+000	-1,4041531E+000
9,9968164E+002	6,7338290E+000	-1,3146319E+000
7,9423932E+002	6,9045410E+000	-1,2302015E+000
6,3100977E+002	7,0485654E+000	-1,1562121E+000
5,0112231E+002	7,1803970E+000	-1,1059802E+000
3,9808899E+002	7,2969332E+000	-1,0730761E+000
3,1631589E+002	7,4124455E+000	-1,0618834E+000
2,5120601E+002	7,5278034E+000	-1,0771719E+000
1,9955338E+002	7,6367321E+000	-1,1081594E+000
