freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
4,5514554E+002	1,1140911E+001	-1,5280906E+000
3,6057681E+002	1,1309577E+001	-1,5047539E+000
2,8563962E+002	1,1466398E+001	-1,4956852E+000
2,2623093E+002	1,1628799E+001	-1,5196049E+000
1,7914027E+002	1,1805746E+001	-1,5661863E+000
1,4186128E+002	1,2000725E+001	-1,6328573E+000
1,1233688E+002	1,2217270E+001	-1,7178520E+000
8,9003143E+001	1,2464555E+001	-1,8128338E+000
7,0473549E+001	1,2739541E+001	-1,8913298E+000
5,5839867E+001	1,3033716E+001	-1,9710642E+000
4,4221729E+001	1,3357923E+001	-2,0231652E+000
3,5011173E+001	1,3691657E+001	-2,0511913E+000
2,7736723E+001	1,4029693E+001	-2,0633051E+000
2,1960661E+001	1,4347225E+001	-2,0364454E+000
1,7399788E+001	1,4658375E+001	-2,0035641E+000
1,3786777E+001	1,4945841E+001	-1,9667889E+000
1,0911301E+001	1,5221815E+001	-1,9488479E+000
8,6421518E+000	1,5463414E+001	-1,9130595E+000
6,8470612E+000	1,5733706E+001	-1,8675160E+000
5,4197016E+000	1,5954052E+001	-1,8657309E+000
4,2925849E+000	1,6200993E+001	-1,8798829E+000
3,4004376E+000	1,6437908E+001	-1,8762383E+000
2,6930346E+000	1,6647118E+001	-1,8770154E+000
2,1345615E+000	1,6830973E+001	-1,9502172E+000
1,6891882E+000	1,7144867E+001	-1,9410625E+000
1,3384447E+000	1,7186127E+001	-1,9522640E+000
1,0601133E+000	1,7575787E+001	-1,9589757E+000
8,3950907E-001	1,7551716E+001	-2,1802497E+000
6,6517669E-001	1,7661747E+001	-1,9265720E+000
5,2644908E-001	1,8131102E+001	-2,0356910E+000
4,1728988E-001	1,8092945E+001	-2,4802563E+000
3,3019856E-001	1,7800346E+001	-2,3504004E+000
2,6168153E-001	1,8035713E+001	-1,9960271E+000
2,0727515E-001	1,8637123E+001	-2,0798073E+000
1,6422123E-001	1,8898447E+001	-2,7105496E+000
1,3006553E-001	1,8503145E+001	-3,0871696E+000
1,0297224E-001	1,8205284E+001	-2,8170900E+000
8,1555545E-002	1,8461729E+001	-2,3924124E+000
6,4581856E-002	1,9126066E+001	-2,3237798E+000
5,1141009E-002	1,9736300E+001	-2,7791562E+000
4,0509924E-002	1,9866238E+001	-3,3235734E+000
3,2105520E-002	1,9860069E+001	-3,4911871E+000
2,5420561E-002	2,0178598E+001	-3,4088128E+000
2,0124838E-002	2,0851768E+001	-3,4952478E+000
1,5937239E-002	2,1587748E+001	-3,7391889E+000
1,2632385E-002	2,2260609E+001	-4,0452771E+000
1,0003746E-002	2,2999393E+001	-4,3496203E+000
1,0000186E+006	5,4486814E+000	-6,1144553E-002
7,9201306E+005	5,5091782E+000	-1,5624927E-001
6,2729181E+005	5,5632277E+000	-2,3807798E-001
4,9682675E+005	5,6184902E+000	-3,0623192E-001
3,9349206E+005	5,6728044E+000	-3,6866900E-001
3,1165566E+005	5,7320852E+000	-4,2183578E-001
2,4683603E+005	5,7962928E+000	-4,7562450E-001
1,9549808E+005	5,8626842E+000	-5,2693903E-001
1,5483967E+005	5,9327583E+000	-5,7984704E-001
1,2263398E+005	6,0012708E+000	-6,3487601E-001
9,7127375E+004	6,0792027E+000	-6,9680780E-001
7,6928070E+004	6,1604538E+000	-7,6524597E-001
6,0922652E+004	6,2545767E+000	-8,4130275E-001
4,8257500E+004	6,3511124E+000	-9,2664748E-001
3,8218156E+004	6,4614701E+000	-1,0237871E+000
3,0266479E+004	6,5880127E+000	-1,1331015E+000
2,3975656E+004	6,7274027E+000	-1,2542725E+000
1,8983818E+004	6,8933468E+000	-1,3931932E+000
1,5040457E+004	7,0916409E+000	-1,5447398E+000
1,1913598E+004	7,3220625E+000	-1,6987751E+000
9,4374268E+003	7,5850883E+000	-1,8530896E+000
7,4706152E+003	7,8913207E+000	-2,0029128E+000
5,9169902E+003	8,2368364E+000	-2,1381719E+000
4,6864971E+003	8,6123505E+000	-2,2425902E+000
3,7111863E+003	9,0231924E+000	-2,3148289E+000
2,9409380E+003	9,4391928E+000	-2,3223855E+000
2,3292527E+003	9,8615360E+000	-2,2938406E+000
1,8444061E+003	1,0250443E+001	-2,2153137E+000
1,4604702E+003	1,0601789E+001	-2,1098013E+000
1,1568517E+003	1,0920313E+001	-1,9948090E+000
9,1646613E+002	1,1193460E+001	-1,8754970E+000
7,2569403E+002	1,1430140E+001	-1,7579187E+000
5,7481604E+002	1,1636550E+001	-1,6693445E+000
4,5514554E+002	1,1826666E+001	-1,6008841E+000
3,6057681E+002	1,1999385E+001	-1,5648775E+000
2,8563962E+002	1,2154521E+001	-1,5428669E+000
2,2623093E+002	1,2326321E+001	-1,5691539E+000
1,7914027E+002	1,2502717E+001	-1,6066005E+000
1,4186128E+002	1,2702319E+001	-1,6712363E+000
1,1233688E+002	1,2924506E+001	-1,7518036E+000
8,9003143E+001	1,3167172E+001	-1,8490640E+000
7,0473549E+001	1,3441267E+001	-1,9323230E+000
5,5839867E+001	1,3751135E+001	-2,0309937E+000
4,4221729E+001	1,4070981E+001	-2,0976958E+000
3,5011173E+001	1,4415114E+001	-2,1476107E+000
2,7736723E+001	1,4774938E+001	-2,1479919E+000
2,1960661E+001	1,5108172E+001	-2,1400185E+000
1,7399788E+001	1,5443090E+001	-2,1115615E+000
1,3786777E+001	1,5760538E+001	-2,0793970E+000
1,0911301E+001	1,6039461E+001	-2,0189855E+000
8,6421518E+000	1,6326498E+001	-2,0083485E+000
6,8470612E+000	1,6559683E+001	-1,9976275E+000
5,4197016E+000	1,6826513E+001	-1,9893696E+000
4,2925849E+000	1,7073595E+001	-1,9705738E+000
3,4004376E+000	1,7327194E+001	-2,0040748E+000
2,6930346E+000	1,7575003E+001	-2,0342460E+000
2,1345615E+000	1,7834005E+001	-2,0202618E+000
1,6891882E+000	1,7963312E+001	-2,0260201E+000
