freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0000186E+006	1,7114131E+000	-1,2405709E-001
7,9201306E+005	1,7486218E+000	-1,4927748E-001
6,2729181E+005	1,7818342E+000	-1,8797523E-001
4,9682675E+005	1,8066328E+000	-2,3778266E-001
3,9349206E+005	1,8430969E+000	-2,9115111E-001
3,1165566E+005	1,8737308E+000	-3,4691092E-001
2,4683603E+005	1,9094880E+000	-4,0738809E-001
1,9549808E+005	1,9503999E+000	-4,8025233E-001
1,5483967E+005	2,0002055E+000	-5,6229401E-001
1,2263398E+005	2,0575042E+000	-6,5504360E-001
9,7127375E+004	2,1220160E+000	-7,6599479E-001
7,6928070E+004	2,1980724E+000	-8,9378011E-001
6,0922652E+004	2,2874398E+000	-1,0472674E+000
4,8257500E+004	2,3932922E+000	-1,2249423E+000
3,8218156E+004	2,5247524E+000	-1,4310153E+000
3,0266479E+004	2,6817560E+000	-1,6677612E+000
2,3975656E+004	2,8698497E+000	-1,9417332E+000
1,8983818E+004	3,0962298E+000	-2,2475970E+000
1,5040457E+004	3,3711576E+000	-2,5929356E+000
1,1913598E+004	3,7061765E+000	-2,9908583E+000
9,4374268E+003	4,0906477E+000	-3,4282885E+000
7,4706152E+003	4,5478435E+000	-3,9145863E+000
5,9169902E+003	5,0868959E+000	-4,4428468E+000
4,6864971E+003	5,7312851E+000	-5,0203876E+000
3,7111863E+003	6,4915662E+000	-5,6290841E+000
2,9409380E+003	7,3889217E+000	-6,2576723E+000
2,3292527E+003	8,4318371E+000	-6,8870416E+000
1,8444061E+003	9,6335239E+000	-7,4772534E+000
1,4604702E+003	1,0992056E+001	-7,9866967E+000
1,1568517E+003	1,2499088E+001	-8,3683424E+000
9,1646613E+002	1,4114717E+001	-8,5928955E+000
7,2569403E+002	1,5773104E+001	-8,6153774E+000
5,7481604E+002	1,7400925E+001	-8,4376526E+000
4,5514554E+002	1,8960346E+001	-8,0225210E+000
3,6057681E+002	2,0349945E+001	-7,4867792E+000
2,8563962E+002	2,1593233E+001	-6,8110428E+000
2,2623093E+002	2,2606997E+001	-6,1189122E+000
1,7914027E+002	2,3449026E+001	-5,4255495E+000
1,4186128E+002	2,4150600E+001	-4,7947640E+000
1,1233688E+002	2,4683083E+001	-4,2283525E+000
8,9003143E+001	2,5134012E+001	-3,7258151E+000
7,0473549E+001	2,5514372E+001	-3,3384929E+000
5,5839867E+001	2,5832766E+001	-2,9997220E+000
4,4221729E+001	2,6121964E+001	-2,7535233E+000
3,5011173E+001	2,6384420E+001	-2,5683382E+000
2,7736723E+001	2,6654139E+001	-2,4281957E+000
2,1960661E+001	2,6900890E+001	-2,3226452E+000
1,7399788E+001	2,7187578E+001	-2,2718236E+000
1,3786777E+001	2,7440228E+001	-2,2381067E+000
1,0911301E+001	2,7722321E+001	-2,2323651E+000
8,6421518E+000	2,7997946E+001	-2,2463319E+000
6,8470612E+000	2,8299543E+001	-2,3001206E+000
5,4197016E+000	2,8599060E+001	-2,3525758E+000
4,2925849E+000	2,8917591E+001	-2,4522300E+000
3,4004376E+000	2,9252743E+001	-2,5552669E+000
2,6930346E+000	2,9619371E+001	-2,6807954E+000
2,1345615E+000	3,0035679E+001	-2,8034956E+000
1,6891882E+000	3,0453671E+001	-2,9614816E+000
1,3384447E+000	3,1185816E+001	-3,1126802E+000
1,0601133E+000	3,1652348E+001	-3,2607353E+000
8,3950907E-001	3,2159836E+001	-3,3945768E+000
6,6517669E-001	3,2659962E+001	-3,5330327E+000
5,2644908E-001	3,3173195E+001	-3,7060759E+000
4,1728988E-001	3,3695606E+001	-3,8528738E+000
3,3019856E-001	3,4194912E+001	-4,0531287E+000
2,6168153E-001	3,4717308E+001	-4,2318339E+000
2,0727515E-001	3,5223690E+001	-4,5020642E+000
1,6422123E-001	3,5713295E+001	-4,7687497E+000
1,3006553E-001	3,6285606E+001	-5,1134706E+000
1,0297224E-001	3,6810696E+001	-5,5353751E+000
8,1555545E-002	3,7386959E+001	-5,9657359E+000
6,4581856E-002	3,8022129E+001	-6,5199099E+000
5,1141009E-002	3,8629879E+001	-7,1357827E+000
4,0509924E-002	3,9326054E+001	-7,7593770E+000
3,2105520E-002	4,0255310E+001	-8,5763273E+000
2,5420561E-002	4,1403156E+001	-9,4552746E+000
2,0124838E-002	4,2883236E+001	-1,0405354E+001
1,5937239E-002	4,4586788E+001	-1,1566946E+001
1,2632385E-002	4,6327160E+001	-1,2808949E+001
1,0003746E-002	4,7940540E+001	-1,4074053E+001
