freq/Hz	Re(Z)/Ohm	Im(Z)/Ohm	
1,0000186E+006	1,5440727E+000	-1,4000618E-001
7,9433269E+005	1,5608740E+000	-1,6449878E-001
6,3095681E+005	1,5786167E+000	-1,9049382E-001
5,0120622E+005	1,5983440E+000	-2,2029607E-001
3,9810347E+005	1,6192018E+000	-2,5605407E-001
3,1622997E+005	1,6427988E+000	-2,9535338E-001
2,5118764E+005	1,6677833E+000	-3,4272212E-001
1,9954350E+005	1,6980367E+000	-4,0074727E-001
1,5848613E+005	1,7330950E+000	-4,7064102E-001
1,2590929E+005	1,7714549E+000	-5,5309099E-001
1,0000371E+005	1,8194147E+000	-6,4989382E-001
7,9433273E+004	1,8795661E+000	-7,6625383E-001
6,3093828E+004	1,9487358E+000	-9,0504062E-001
5,0122477E+004	2,0343146E+000	-1,0689169E+000
3,9814063E+004	2,1428072E+000	-1,2596960E+000
3,1621143E+004	2,2770996E+000	-1,4797490E+000
2,5116906E+004	2,4478357E+000	-1,7358429E+000
1,9948781E+004	2,6489611E+000	-2,0221355E+000
1,5847683E+004	2,9019620E+000	-2,3453519E+000
1,2590930E+004	3,2193305E+000	-2,6989408E+000
1,0002226E+004	3,5912957E+000	-3,0826368E+000
7,9439951E+003	4,0377388E+000	-3,4944012E+000
6,3077358E+003	4,5653162E+000	-3,9274187E+000
5,0116030E+003	5,1875854E+000	-4,3738041E+000
3,9812773E+003	5,9129419E+000	-4,8123755E+000
3,1630398E+003	6,7495685E+000	-5,2260585E+000
2,5124104E+003	7,7059889E+000	-5,5795269E+000
1,9956381E+003	8,7552814E+000	-5,8486333E+000
1,5844927E+003	9,8755665E+000	-5,9860759E+000
1,2587905E+003	1,1031079E+001	-5,9768753E+000
9,9968164E+002	1,2171494E+001	-5,8133917E+000
7,9423932E+002	1,3239734E+001	-5,5090804E+000
6,3100977E+002	1,4174139E+001	-5,1115727E+000
5,0112231E+002	1,5002859E+001	-4,6396184E+000
3,9808899E+002	1,5662702E+001	-4,1496320E+000
3,1631589E+002	1,6214540E+001	-3,6578140E+000
2,5120601E+002	1,6645878E+001	-3,2094419E+000
1,9955338E+002	1,6993502E+001	-2,8278418E+000
1,5852898E+002	1,7276606E+001	-2,4772255E+000
1,2592673E+002	1,7517742E+001	-2,2047009E+000
9,9968163E+001	1,7714624E+001	-1,9699067E+000
7,9415741E+001	1,7916100E+001	-1,7888411E+000
6,3082279E+001	1,8074144E+001	-1,6630859E+000
5,0112232E+001	1,8232414E+001	-1,5529983E+000
3,9808899E+001	1,8419851E+001	-1,4876112E+000
3,1629578E+001	1,8579802E+001	-1,4420705E+000
2,5120602E+001	1,8747620E+001	-1,4132742E+000
1,9955338E+001	1,8914534E+001	-1,3929685E+000
1,5846864E+001	1,9097980E+001	-1,4080409E+000
1,2587309E+001	1,9277115E+001	-1,4310122E+000
9,9968166E+000	1,9474640E+001	-1,4714092E+000
7,9395623E+000	1,9668549E+001	-1,5155237E+000
6,3105822E+000	1,9877369E+001	-1,5690616E+000
5,0112233E+000	2,0093615E+001	-1,6393533E+000
3,9819033E+000	2,0341240E+001	-1,7329851E+000
3,1629577E+000	2,0613749E+001	-1,8232290E+000
2,5112481E+000	2,0883274E+001	-1,9439235E+000
1,9950197E+000	2,1196270E+001	-2,0343776E+000
1,5846864E+000	2,1523582E+001	-2,1695302E+000
1,2582541E+000	2,1842533E+001	-2,2809002E+000
1,0000616E+000	2,2223972E+001	-2,3825159E+000
7,9444051E-001	2,2593531E+001	-2,5136464E+000
6,3126236E-001	2,2941059E+001	-2,6482248E+000
5,0118715E-001	2,3308392E+001	-2,7627320E+000
3,9821118E-001	2,3694910E+001	-2,9090226E+000
3,1619295E-001	2,4059914E+001	-3,0939515E+000
2,5117323E-001	2,4406250E+001	-3,3160508E+000
1,9957349E-001	2,4772659E+001	-3,5189528E+000
1,5846863E-001	2,5230955E+001	-3,7846851E+000
1,2590662E-001	2,5727835E+001	-4,1367598E+000
1,0002181E-001	2,6152105E+001	-4,5347533E+000
7,9420954E-002	2,6758125E+001	-4,9717216E+000
6,3119084E-002	2,7449844E+001	-5,4260540E+000
5,0094575E-002	2,8294718E+001	-5,9862552E+000
3,9821938E-002	2,9174517E+001	-6,6828351E+000
3,1629652E-002	3,0092493E+001	-7,4167738E+000
2,5115162E-002	3,1142475E+001	-8,1659899E+000
1,9949377E-002	3,2426220E+001	-9,0135813E+000
1,5841872E-002	3,3842896E+001	-1,0108604E+001
1,2591705E-002	3,5311932E+001	-1,1314149E+001
9,9972636E-003	3,6870178E+001	-1,2586569E+001
