freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	|Z|/Ohm	Phase(Z)/deg	time/s	<Ewe>/V	<I>/mA	Cs/µF	Cp/µF	cycle number	I Range	|Ewe|/V	|I|/A	Ns	(Q-Qo)/mA.h	P/W	Re(Y)/Ohm-1	Im(Y)/Ohm-1	|Y|/Ohm-1	Phase(Y)/deg	Re(C)/nF	Im(C)/nF	|C|/nF	Phase(C)/deg	Re(M)	Im(M)	|M|	Phase(M)/deg	Re(Permittivity)	Im(Permittivity)	|Permittivity|	Phase(Permittivity)/deg	Re(Resistivity)/Ohm.cm	Im(Resistivity)/Ohm.cm	|Resistivity|/Ohm.cm	Phase(Resistivity)/deg	Re(Conductivity)/mS/cm	Im(Conductivity)/mS/cm	|Conductivity|/mS/cm	Phase(Conductivity)/deg	Tan(Delta)	Loss Angle(Delta)/deg	dq/mA.h	
1,0000186E+006	2,4480190E+000	2,8662255E-001	2,4647412E+000	-6,6779838E+000	1,111875676901796E+004	2,8149045E+000	1,0776195E-001	5,5526680E-001	7,5089596E-003	1,000000000000000E+000	37	1,3886873E-002	5,6342115E-003	0	3,950324306321434E-005	3,0333959E-004	4,0296945E-001	4,7181059E-002	4,0572211E-001	6,6779838E+000	7,5089617E+000	6,4133385E+001	6,4571480E+001	-8,3322014E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3322014E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3322014E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,6779838E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,6779838E+000	8,5409155E+000	6,6779838E+000	3,950324306321434E-005
7,9201306E+005	2,4703696E+000	2,7340296E-001	2,4854527E+000	-6,3153887E+000	1,111917578029120E+004	2,8149054E+000	9,7529031E-002	7,3499531E-001	8,8936491E-003	1,000000000000000E+000	37	1,4801792E-002	5,9553706E-003	0	4,921211505536404E-005	2,7453501E-004	3,9989957E-001	4,4258039E-002	4,0234119E-001	6,3153887E+000	8,8936529E+000	8,0359779E+001	8,0850426E+001	-8,3684608E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3684608E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3684608E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,3153887E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,3153887E+000	9,0356359E+000	6,3153887E+000	9,708871992149707E-006
6,2729181E+005	2,5013402E+000	2,7651426E-001	2,5165775E+000	-6,3082314E+000	1,111959478788445E+004	2,8148983E+000	8,4015302E-002	9,1755682E-001	1,1077644E-002	1,000000000000000E+000	37	1,4992665E-002	5,9575615E-003	0	5,676267919446238E-005	2,3649452E-004	3,9495909E-001	4,3661322E-002	3,9736506E-001	6,3082314E+000	1,1077638E+001	1,0020806E+002	1,0081850E+002	-8,3691772E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3691772E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3691772E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,3082314E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,3082314E+000	9,0459719E+000	6,3082314E+000	7,550564139098338E-006
4,9682675E+005	2,5232484E+000	2,7116394E-001	2,5377772E+000	-6,1338191E+000	1,112001377966435E+004	2,8149018E+000	1,0123831E-001	1,1813626E+000	1,3487769E-002	1,000000000000000E+000	37	1,4843595E-002	5,8490536E-003	0	6,884226512303576E-005	2,8497592E-004	3,9178973E-001	4,2104155E-002	3,9404562E-001	6,1338191E+000	1,3487770E+001	1,2550708E+002	1,2622974E+002	-8,3866180E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3866180E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3866180E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,1338191E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,1338191E+000	9,3052511E+000	6,1338191E+000	1,207958592857338E-005
3,9349206E+005	2,5516694E+000	2,7845806E-001	2,5668182E+000	-6,2279177E+000	1,112043277579092E+004	2,8149011E+000	8,4145777E-002	1,4525275E+000	1,7094394E-002	1,000000000000000E+000	37	1,4878070E-002	5,7963082E-003	0	7,652956615359937E-005	2,3686205E-004	3,8728812E-001	4,2263899E-002	3,8958737E-001	6,2279177E+000	1,7094402E+001	1,5664565E+002	1,5757562E+002	-8,3772079E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3772079E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3772079E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,2279177E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,2279177E+000	9,1635675E+000	6,2279177E+000	7,687301030563605E-006
3,1165566E+005	2,5793431E+000	2,8645918E-001	2,5952013E+000	-6,3372402E+000	1,112085178647749E+004	2,8148890E+000	8,8675208E-002	1,7827169E+000	2,1720298E-002	1,000000000000000E+000	37	1,4983520E-002	5,7735485E-003	0	8,670919193646275E-005	2,4961086E-004	3,8297200E-001	4,2532474E-002	3,8532656E-001	6,3372402E+000	2,1720303E+001	1,9557445E+002	1,9677687E+002	-8,3662758E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3662758E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3662758E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,3372402E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,3372402E+000	9,0042257E+000	6,3372402E+000	1,017962578286338E-005
2,4683603E+005	2,6093481E+000	3,0615455E-001	2,6272471E+000	-6,6919127E+000	1,112127077463071E+004	2,8148890E+000	7,5720660E-002	2,1060607E+000	2,8598974E-002	1,000000000000000E+000	37	1,4744927E-002	5,6123110E-003	0	9,678646134999063E-005	2,1314525E-004	3,7803340E-001	4,4354621E-002	3,8062656E-001	6,6919127E+000	2,8598959E+001	2,4374835E+002	2,4542038E+002	-8,3308090E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,3308090E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,3308090E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-6,6919127E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	6,6919127E+000	8,5229769E+000	6,6919127E+000	1,007726941352788E-005
1,9549808E+005	2,6440227E+000	3,2596019E-001	2,6640394E+000	-7,0280719E+000	1,112168976465060E+004	2,8148723E+000	8,6419806E-002	2,4975436E+000	3,7390471E-002	1,000000000000000E+000	37	1,4872530E-002	5,5826986E-003	0	1,124159267332094E-004	2,4326071E-004	3,7254941E-001	4,5928609E-002	3,7536982E-001	7,0280719E+000	3,7390453E+001	3,0329242E+002	3,0558850E+002	-8,2971931E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2971931E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2971931E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,0280719E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,0280719E+000	8,1114893E+000	7,0280719E+000	1,562946538321881E-005
1,5483967E+005	2,6797681E+000	3,5028657E-001	2,7025650E+000	-7,4472089E+000	1,112210877211054E+004	2,8148715E+000	7,5385161E-002	2,9343669E+000	4,9295705E-002	1,000000000000000E+000	37	1,4709453E-002	5,4427749E-003	0	1,253500162159972E-004	2,1219955E-004	3,6689764E-001	4,7959123E-002	3,7001887E-001	7,4472089E+000	4,9295731E+001	3,7712280E+002	3,8033102E+002	-8,2552788E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2552788E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2552788E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,4472089E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,4472089E+000	7,6502166E+000	7,4472089E+000	1,293408948278778E-005
1,2263398E+005	2,7182631E+000	3,7778047E-001	2,7443893E+000	-7,9122062E+000	1,112252778079710E+004	2,8148701E+000	7,5161479E-002	3,4353406E+000	6,5096460E-002	1,000000000000000E+000	37	1,4777260E-002	5,3845351E-003	0	1,299742411302610E-004	2,1156980E-004	3,6091095E-001	5,0158903E-002	3,6437979E-001	7,9122062E+000	6,5096481E+001	4,6839194E+002	4,7289380E+002	-8,2087791E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,2087791E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,2087791E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9122062E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9122062E+000	7,1953511E+000	7,9122062E+000	4,624224914263729E-006
9,7127375E+004	2,7619343E+000	4,1437307E-001	2,7928455E+000	-8,5324478E+000	1,112294678001700E+004	2,8148599E+000	7,7137262E-002	3,9544578E+000	8,7051481E-002	1,000000000000000E+000	37	1,4644807E-002	5,2436870E-003	0	1,335807704792824E-004	2,1713058E-004	3,5409477E-001	5,3124849E-002	3,5805777E-001	8,5324478E+000	8,7051476E+001	5,8022705E+002	5,8672089E+002	-8,1467552E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,1467552E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,1467552E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,5324478E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,5324478E+000	6,6653323E+000	8,5324478E+000	3,606529349021423E-006
7,6928070E+004	2,8069756E+000	4,6150550E-001	2,8446615E+000	-9,3366852E+000	1,112336577726353E+004	2,8148646E+000	7,6373033E-002	4,4828935E+000	1,1799157E-001	1,000000000000000E+000	37	1,4559781E-002	5,1182825E-003	0	1,460161997327167E-004	2,1497975E-004	3,4687856E-001	5,7031620E-002	3,5153568E-001	9,3366852E+000	1,1799157E+002	7,1765002E+002	7,2728510E+002	-8,0663315E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	8,0663315E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-8,0663315E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-9,3366852E+000	0,0000000E+000	0,0000000E+000	0,0000000E+000	9,3366852E+000	6,0822148E+000	9,3366852E+000	1,243542925343432E-005
6,0922652E+004	2,8575819E+000	5,1513457E-001	2,9036422E+000	-1,0218924E+001	1,112378476339014E+004	2,8148694E+000	8,6606182E-002	5,0713153E+000	1,5961578E-001	1,000000000000000E+000	37	1,4495631E-002	4,9922233E-003	0	1,477765988174748E-004	2,4378509E-004	3,3893192E-001	6,1099052E-002	3,4439504E-001	1,0218924E+001	1,5961581E+002	8,8542920E+002	8,9970111E+002	-7,9781075E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	7,9781075E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-7,9781075E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	-1,0218924E+001	0,0000000E+000	0,0000000E+000	0,0000000E+000	1,0218924E+001	5,5472531E+000	1,0218924E+001	1,760399084758116E-006
