Segment,Point,Elapsed Time (s),Potential (V),Current (A),Frequency (Hz),|Z| (ohms),Zre (ohms),Zim (ohms),Phase of Z (deg),ActionId
0,0,1.708328,0.000295616453513503,5.58263550942684E-08,10000,3302.36542849936,3206.92236328125,-788.204528808594,-13.8085736024385,21
0,1,1.730532,0.000295616453513503,5.58263550942684E-08,7943.2822265625,3419.89447206501,3347.63256835938,-699.309936523438,-11.7992301396525,21
0,2,1.751923,0.000295616453513503,4.95977019454585E-08,6309.57373046875,3505.90312927154,3453.5888671875,-603.390991210938,-9.91035578890432,21
0,3,1.773382,0.000295616453513503,5.58263550942684E-08,5011.8720703125,3565.8591662802,3529.22534179688,-509.823577880859,-8.21995006745047,21
0,4,1.794755,0.000295616453513503,4.33690416912214E-08,3981.07177734375,3608.83621506755,3583.10375976563,-430.193298339844,-6.84625472244627,21
0,5,1.815358,0.000295616453513503,5.58263550942684E-08,3162.27758789063,3632.80430401203,3614.275390625,-366.443054199219,-5.78930417268137,21
0,6,1.825703,0.000295616453513503,4.33690416912214E-08,2511.88647460938,3648.9957062723,3635.0712890625,-318.47509765625,-5.00700089021837,21
0,7,1.847018,0.000295616453513503,5.58263550942684E-08,1995.26232910156,3661.10242443261,3650.18188476563,-282.565338134766,-4.42651309455988,21
0,8,1.868332,0.000295616453513503,4.95977019454585E-08,1584.89318847656,3668.59019515513,3659.46264648438,-258.625518798828,-4.04254808306967,21
0,9,1.890426,0.000295616453513503,5.58263550942684E-08,1258.92529296875,3677.85703162084,3669.28247070313,-250.995010375977,-3.91318667587688,21
0,10,2.029991,0.000295616453513503,4.66783856012398E-09,1000,3683.33908126103,3678.90356445313,-180.707916259766,-2.81211117243821,21
0,11,2.050541,0.000295616453513503,3.4220981603994E-09,794.328125,3687.22000310112,3681.00830078125,-213.937469482422,-3.32624634872361,21
0,12,2.071964,0.000295616453513503,4.66783856012398E-09,630.957275390625,3695.68046956417,3686.85180664063,-255.299606323242,-3.96117825509431,21
0,13,2.093837,0.000295616453513503,3.4220981603994E-09,501.187133789063,3703.94000616696,3690.91064453125,-310.403259277344,-4.80722688279401,21
0,14,2.11548,0.000295616453513503,8.40506064747615E-09,398.107177734375,3720.86565239475,3701.037109375,-383.62158203125,-5.91771560088303,21
0,15,2.136899,0.000295616453513503,9.30616472771817E-10,316.227752685547,3740.52591102772,3710.15283203125,-475.710052490234,-7.30651057974172,21
0,16,2.158553,0.000295616453513503,-1.40182709884584E-08,251.188629150391,3767.79042982067,3720.82495117188,-593.048400878906,-9.05598709374623,21
0,17,2.190799,0.000295616453513503,3.4220981603994E-09,199.526214599609,3828.94258383347,3757.03979492188,-738.548095703125,-11.1212358000271,21
0,18,2.212066,0.000295616453513503,1.55348711672332E-09,158.489288330078,3909.91830173404,3799.83349609375,-921.263549804688,-13.6283021278959,21
