1.0000186E+006	2.7381034E+000	-0.32671785
7.9201306E+005	2.7646432E+000	-0.31057706
6.2729181E+005	2.8011661E+000	-0.31242055
4.9682675E+005	2.8266454E+000	-0.30675596
3.9349206E+005	2.8585835E+000	-0.31225282
3.1165566E+005	2.8891499E+000	-0.32001102
2.4683603E+005	2.9257934E+000	-0.33533671
1.9549808E+005	2.9595184E+000	-0.35533667
1.5483967E+005	2.9975278E+000	-0.38383868
1.2263398E+005	3.0427721E+000	-0.41148207
9.7127375E+004	3.0885968E+000	-0.45093951
7.6928070E+004	3.1382554E+000	-0.49726304
6.0922652E+004	3.1929646E+000	-0.55512697
4.8257500E+004	3.2521877E+000	-0.6232574
3.8218156E+004	3.3222535E+000	-0.70227504
3.0266479E+004	3.4000292E+000	-0.79590195
2.3975656E+004	3.4960089E+000	-0.90755475
1.8983818E+004	3.6089110E+000	-1.0336645
1.5040457E+004	3.7439950E+000	-1.1738762
1.1913598E+004	3.9017148E+000	-1.3255519
9.4374268E+003	4.1019478E+000	-1.4944557
7.4706152E+003	4.3175516E+000	-1.6754978
5.9169902E+003	4.5647845E+000	-1.8664221
4.6864971E+003	4.8546672E+000	-2.0656531
3.7111863E+003	5.1881299E+000	-2.2715275
2.9409380E+003	5.5713258E+000	-2.4758663
2.3292527E+003	6.0208516E+000	-2.6591198
1.8444061E+003	6.5244451E+000	-2.8046632
1.4604702E+003	7.0706024E+000	-2.8894258
1.1568517E+003	7.6366210E+000	-2.8955874
9.1646613E+002	8.1842699E+000	-2.8197601
7.2569403E+002	8.6859016E+000	-2.678957
5.7481604E+002	9.1213360E+000	-2.4998853
4.5514554E+002	9.4895859E+000	-2.3105493
3.6057681E+002	9.7949162E+000	-2.1288118
2.8563962E+002	1.0060922E+001	-1.9694834
2.2623093E+002	1.0277830E+001	-1.8521624
1.7914027E+002	1.0483565E+001	-1.7688948
1.4186128E+002	1.0678521E+001	-1.7239994
1.1233688E+002	1.0863868E+001	-1.7057009
8.9003143E+001	1.1060637E+001	-1.7266546
7.0473549E+001	1.1277131E+001	-1.7706114
5.5839867E+001	1.1509157E+001	-1.8382077
4.4221729E+001	1.1758253E+001	-1.9156547
3.5011173E+001	1.2037519E+001	-2.0158634
2.7736723E+001	1.2346322E+001	-2.122422
2.1960661E+001	1.2684025E+001	-2.2155554
1.7399788E+001	1.3053403E+001	-2.3190532
1.3786777E+001	1.3472870E+001	-2.409543
1.0911301E+001	1.3892611E+001	-2.4549043
8.6421518E+000	1.4324149E+001	-2.4794648
6.8470612E+000	1.4748314E+001	-2.4714217
5.4215789E+000	1.5176857E+001	-2.4294865
4.2925849E+000	1.5569432E+001	-2.3767533
3.4026577E+000	1.5957017E+001	-2.3250306
2.6930346E+000	1.6326952E+001	-2.238405
2.1345615E+000	1.6680119E+001	-2.1807806
1.6891882E+000	1.6980371E+001	-2.1147392
1.3382137E+000	1.7285345E+001	-2.0382104
1.0603294E+000	1.7569202E+001	-1.9829174
8.3950907E-001	1.7811686E+001	-1.941255
6.6478032E-001	1.8042894E+001	-1.8918426
5.2641332E-001	1.8297087E+001	-1.8778913
4.1728988E-001	1.8524971E+001	-1.9084302
3.3019856E-001	1.8736177E+001	-1.9442402
2.6168153E-001	1.8944597E+001	-1.9621084
2.0718426E-001	1.9180319E+001	-1.9784458
1.6412809E-001	1.9436100E+001	-1.9967617
1.3006553E-001	1.9709269E+001	-2.0283237
1.0297224E-001	2.0014814E+001	-2.0493386
8.1529468E-002	2.0371523E+001	-2.1104085
6.4577833E-002	2.0762049E+001	-2.2503867
5.1141009E-002	2.1087879E+001	-2.4607148
4.0502772E-002	2.1300932E+001	-2.6944721
3.2105520E-002	2.1441599E+001	-2.8437395
2.5420561E-002	2.1601645E+001	-2.8989675
2.0122826E-002	2.1815945E+001	-2.8771415
1.5950948E-002	2.2137211E+001	-2.8511457
1.2626052E-002	2.2604902E+001	-2.8775213
9.9972636E-003	2.3279877E+001	-3.0559363
