1.0000186E+006	4.3312578E+000	-0.030253967
7.9201306E+005	4.3781290E+000	-0.1120147
6.2729181E+005	4.4201713E+000	-0.18242306
4.9682675E+005	4.4695883E+000	-0.24050695
3.9349206E+005	4.5141854E+000	-0.29584369
3.1165566E+005	4.5643768E+000	-0.34311196
2.4683603E+005	4.6155515E+000	-0.38560352
1.9549808E+005	4.6702914E+000	-0.42823172
1.5483967E+005	4.7263331E+000	-0.47223657
1.2263398E+005	4.7866387E+000	-0.51831698
9.7127375E+004	4.8499341E+000	-0.57101184
7.6928070E+004	4.9173484E+000	-0.62881529
6.0922652E+004	4.9903212E+000	-0.69718623
4.8257500E+004	5.0698690E+000	-0.77076358
3.8218156E+004	5.1656065E+000	-0.8569389
3.0266479E+004	5.2720284E+000	-0.95059139
2.3975656E+004	5.3936152E+000	-1.0626397
1.8983818E+004	5.5340838E+000	-1.1846789
1.5040457E+004	5.7040796E+000	-1.311009
1.1913598E+004	5.9068890E+000	-1.4454086
9.4374268E+003	6.1350665E+000	-1.5736848
7.4706152E+003	6.4047394E+000	-1.696918
5.9169902E+003	6.7031770E+000	-1.7986757
4.6864971E+003	7.0247164E+000	-1.873547
3.7111863E+003	7.3698525E+000	-1.9168924
2.9409380E+003	7.7146330E+000	-1.9137651
2.3292527E+003	8.0480900E+000	-1.8719163
1.8444061E+003	8.3596859E+000	-1.8060222
1.4604702E+003	8.6429176E+000	-1.7162839
1.1568517E+003	8.8880301E+000	-1.6196836
9.1646613E+002	9.0973492E+000	-1.5279235
7.2569403E+002	9.2865181E+000	-1.4519761
5.7481604E+002	9.4571877E+000	-1.4011384
4.5514554E+002	9.6062031E+000	-1.3608649
3.6057681E+002	9.7499323E+000	-1.3556131
2.8563962E+002	9.9045258E+000	-1.368679
2.2623093E+002	1.0061989E+001	-1.4042094
1.7914027E+002	1.0232886E+001	-1.4660527
1.4186128E+002	1.0420520E+001	-1.5448163
1.1233688E+002	1.0633352E+001	-1.6301306
8.9003143E+001	1.0882837E+001	-1.715432
7.0473549E+001	1.1154728E+001	-1.7993593
5.5839867E+001	1.1440677E+001	-1.8598976
4.4221729E+001	1.1744242E+001	-1.9084713
3.5011173E+001	1.2063486E+001	-1.9283195
2.7736723E+001	1.2377959E+001	-1.9227444
2.1960661E+001	1.2673878E+001	-1.908163
1.7399788E+001	1.2967273E+001	-1.8757511
1.3786777E+001	1.3242676E+001	-1.8454015
1.0911301E+001	1.3507245E+001	-1.7950094
8.6421518E+000	1.3747771E+001	-1.7763598
6.8470612E+000	1.3963853E+001	-1.7622119
5.4197016E+000	1.4199248E+001	-1.7572504
4.2925849E+000	1.4422312E+001	-1.731559
3.4004376E+000	1.4632571E+001	-1.7583561
2.6930346E+000	1.4851281E+001	-1.7805187
2.1345615E+000	1.5087154E+001	-1.7709173
1.6891882E+000	1.5218217E+001	-1.7432413
1.3384447E+000	1.5500969E+001	-1.8735296
1.0601133E+000	1.5525892E+001	-1.7945082
8.3950907E-001	1.5909384E+001	-1.8134454
6.6517669E-001	1.5923363E+001	-2.0858126
5.2644908E-001	1.5900284E+001	-1.8841923
4.1728988E-001	1.6315029E+001	-1.7891819
3.3019856E-001	1.6641022E+001	-2.1845312
2.6168153E-001	1.6403435E+001	-2.470711
2.0727515E-001	1.6273657E+001	-2.2233338
1.6422123E-001	1.6632315E+001	-1.9328871
1.3006553E-001	1.7244457E+001	-2.0431325
1.0297224E-001	1.7572891E+001	-2.5798233
8.1555545E-002	1.7420731E+001	-2.9429114
6.4581856E-002	1.7329000E+001	-2.8424139
5.1141009E-002	1.7638350E+001	-2.6031141
4.0509924E-002	1.8261707E+001	-2.5949869
3.2105520E-002	1.8900097E+001	-2.876138
2.5420561E-002	1.9358667E+001	-3.2708359
2.0124838E-002	1.9762754E+001	-3.5487895
1.5937239E-002	2.0310715E+001	-3.6837025
1.2632385E-002	2.1145800E+001	-3.9578671
1.0003746E-002	2.1851009E+001	-4.25634
